season,date,home_team,away_team,fthg,ftag,ftr,hthg,htag,htr,hs,as,hst,ast,hc,ac,hf,af,hy,ay,hr,ar
1993/94,1994-02-20,Torino,Juventus,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-27,Atalanta,Juventus,1,3,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-27,Genoa,Lecce,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-27,Milan,Foggia,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-27,Napoli,Cagliari,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-27,Parma,Cremonese,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-27,Piacenza,Lazio,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-27,Roma,Sampdoria,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-27,Torino,Inter,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-27,Udinese,Reggiana,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-03,Cagliari,Cremonese,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-03,Foggia,Atalanta,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-03,Inter,Udinese,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-03,Juventus,Milan,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-03,Lazio,Roma,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-03,Lecce,Napoli,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-03,Piacenza,Genoa,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-03,Reggiana,Parma,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-03,Sampdoria,Torino,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-03-13,Atalanta,Lecce,3,4,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-03-13,Cremonese,Foggia,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
